key,en,fr,es,it,de
.,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
Developer,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
English,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
a,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
application_exported_pdf,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
auth.acceptTerms,I accept the,,J'accepte les,J'accepte les,(automatisch ins Deutsche übersetzt)
auth.alreadyRegistered,Already registered? Login,,Déjà inscrit ? Se connecter,Déjà inscrit ? Se connecter,(automatisch ins Deutsche übersetzt)
auth.createAccount,Create an account,,Créer un compte,Créer un compte,(automatisch ins Deutsche übersetzt)
auth.email,Email address,,Adresse email,Adresse email,(automatisch ins Deutsche übersetzt)
auth.errors.acceptTerms,You must accept the terms of service to sign up.,,Vous devez accepter les conditions générales pour vous inscrire.,Vous devez accepter les conditions générales pour vous inscrire.,(automatisch ins Deutsche übersetzt)
auth.errors.emailRequired,Please enter your email address,,Veuillez entrer votre adresse email,Veuillez entrer votre adresse email,(automatisch ins Deutsche übersetzt)
auth.errors.login,An error occurred during login,Erreur lors de la connexion,Une erreur est survenue lors de la connexion,Une erreur est survenue lors de la connexion,(automatisch ins Deutsche übersetzt)
auth.errors.passwordLength,Password must be at least 9 characters.,Le mot de passe doit comporter au moins 9 caractères.,Le mot de passe doit contenir au moins 9 caractères.,Le mot de passe doit contenir au moins 9 caractères.,(automatisch ins Deutsche übersetzt)
auth.errors.requiredFields,Please fill in all fields,Veuillez remplir tous les champs,Veuillez remplir tous les champs,Veuillez remplir tous les champs,(automatisch ins Deutsche übersetzt)
auth.errors.signup,An error occurred during sign up,Erreur lors de l'inscription,Une erreur est survenue lors de l'inscription,Une erreur est survenue lors de l'inscription,(automatisch ins Deutsche übersetzt)
auth.errors.unknown,An error occurred,Une erreur est survenue,Une erreur est survenue,Une erreur est survenue,(automatisch ins Deutsche übersetzt)
auth.errorsForm.acceptTerms,,,,,
auth.errorsForm.emailRequired,,,,,
auth.errorsForm.passwordLength,,,,,
auth.errorsForm.requiredFields,,,,,
auth.errorsForm.signup,,,,,
auth.errorsForm.unknown,,,,,
auth.forgotPassword,,(valeur traduite automatiquement en français depuis la version anglaise),,,(automatisch ins Deutsche übersetzt)
auth.fullName,Full name,,Nom complet,Nom complet,(automatisch ins Deutsche übersetzt)
auth.help.capsLock,Make sure Caps Lock is off,,Assurez-vous que le verrouillage des majuscules est désactivé,Assurez-vous que le verrouillage des majuscules est désactivé,(automatisch ins Deutsche übersetzt)
auth.help.checkEmail,Check that your email address is correct,,Vérifiez que votre adresse email est correcte,Vérifiez que votre adresse email est correcte,(automatisch ins Deutsche übersetzt)
auth.help.forgotPassword,"If you forgot your password, use the 'Forgot password' link",,"Si vous avez oublié votre mot de passe, utilisez le lien ""Mot de passe oublié""","Si vous avez oublié votre mot de passe, utilisez le lien ""Mot de passe oublié""",(automatisch ins Deutsche übersetzt)
auth.help.noAccount,"If you don't have an account yet, click 'Create an account'",,"Si vous n'avez pas encore de compte, cliquez sur ""Créer un compte""","Si vous n'avez pas encore de compte, cliquez sur ""Créer un compte""",(automatisch ins Deutsche übersetzt)
auth.help.title,Need help signing in?,,Besoin d'aide pour vous connecter ?,Besoin d'aide pour vous connecter ?,(automatisch ins Deutsche übersetzt)
auth.hidePassword,Hide password,,Masquer le mot de passe,Masquer le mot de passe,(automatisch ins Deutsche übersetzt)
auth.login,Login,Se connecter,Connexion,Connexion,(automatisch ins Deutsche übersetzt)
auth.logout,,(valeur traduite automatiquement en français depuis la version anglaise),,,(automatisch ins Deutsche übersetzt)
auth.mfa.sms.setup_completed,,(valeur traduite automatiquement en français depuis la version anglaise),,,
auth.mfa.sms.setup_started,,(valeur traduite automatiquement en français depuis la version anglaise),,,
auth.mfa.totp.setup_completed,,(valeur traduite automatiquement en français depuis la version anglaise),,,
auth.mfa.totp.setup_started,,(valeur traduite automatiquement en français depuis la version anglaise),,,
auth.password,Password,,Mot de passe,Mot de passe,(automatisch ins Deutsche übersetzt)
auth.password.updated,,(valeur traduite automatiquement en français depuis la version anglaise),,,
auth.reset_password.requested,,(valeur traduite automatiquement en français depuis la version anglaise),,,
auth.showPassword,Show password,,Afficher le mot de passe,Afficher le mot de passe,(automatisch ins Deutsche übersetzt)
auth.signin.success,,(valeur traduite automatiquement en français depuis la version anglaise),,,
auth.signout.success,,(valeur traduite automatiquement en français depuis la version anglaise),,,
auth.signup,Sign up,,Créer un compte,Créer un compte,(automatisch ins Deutsche übersetzt)
auth.signup.success,,(valeur traduite automatiquement en français depuis la version anglaise),,,
auth.startTrial,Start free trial,Essayer gratuitement,Commencer l’essai gratuit,Commencer l’essai gratuit,(automatisch ins Deutsche übersetzt)
auth.success.login,Login successful!,,Connexion réussie !,Connexion réussie !,(automatisch ins Deutsche übersetzt)
auth.success.reset,Password reset instructions sent to your email address,,Instructions de réinitialisation envoyées à votre adresse email,Instructions de réinitialisation envoyées à votre adresse email,(automatisch ins Deutsche übersetzt)
auth.success.signup,Sign up successful! You can now log in.,,Inscription réussie ! Vous pouvez maintenant vous connecter.,Inscription réussie ! Vous pouvez maintenant vous connecter.,(automatisch ins Deutsche übersetzt)
auth.termsLink,terms of service,,conditions générales d'utilisation,conditions générales d'utilisation,(automatisch ins Deutsche übersetzt)
badges.firstApp.description,Send your first application.,Envoie ta première candidature.,Envía tu primera solicitud.,Invia la tua prima candidatura.,(automatisch ins Deutsche übersetzt)
badges.firstApp.label,First Application,Première candidature,Primera solicitud,Prima candidatura,(automatisch ins Deutsche übersetzt)
badges.networker.description,Add a contact to your network.,Ajoute un contact à ton réseau.,Agrega un contacto a tu red.,Aggiungi un contatto alla tua rete.,(automatisch ins Deutsche übersetzt)
badges.networker.label,Networker,Networker,Conector,Networker,(automatisch ins Deutsche übersetzt)
badges.persistent.description,Send 10 applications.,Envoie 10 candidatures.,Envía 10 solicitudes.,Invia 10 candidature.,(automatisch ins Deutsche übersetzt)
badges.persistent.label,Persistent,Persévérant,Persistente,Persistente,(automatisch ins Deutsche übersetzt)
badges.starter.description,Welcome to JobNexAI!,Bienvenue sur JobNexAI !,¡Bienvenido a JobNexAI!,Benvenuto su JobNexAI!,(automatisch ins Deutsche übersetzt)
badges.starter.label,Newcomer,Nouveau venu,Recién llegado,Nuovo arrivato,(automatisch ins Deutsche übersetzt)
badges.title,Progress Badges,Badges de progression,Insignias de progreso,Badge di progresso,(automatisch ins Deutsche übersetzt)
badges.toUnlock,Unlock this badge by reaching the goal!,Débloque ce badge en atteignant l'objectif !,¡Desbloquea esta insignia alcanzando el objetivo!,Sblocca questo badge raggiungendo l'obiettivo!,(automatisch ins Deutsche übersetzt)
badges.winner.description,Get a job offer.,Obtiens une offre d'emploi.,Consigue una oferta de trabajo.,Ricevi un'offerta di lavoro.,(automatisch ins Deutsche übersetzt)
badges.winner.label,Winner!,Gagnant !,¡Ganador!,Vincitore!,(automatisch ins Deutsche übersetzt)
common.connectedAs,,Connecté en tant que {{name}},,,(automatisch ins Deutsche übersetzt)
common.loading,Loading...,Chargement...,Chargement...,Chargement...,(automatisch ins Deutsche übersetzt)
common.or,or,ou,ou,ou,(automatisch ins Deutsche übersetzt)
common.save,,Sauvegarder,,,(automatisch ins Deutsche übersetzt)
common.search,,Rechercher,,,(automatisch ins Deutsche übersetzt)
common.view,,Voir,,,(automatisch ins Deutsche übersetzt)
content,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
ctaFinalLogin,,,Iniciar sesión,Se connecter,
ctaFinalStart,,,Comenzar prueba gratuita,Commencer l'essai gratuit,
ctaFinalSubtitle,,,Únete a nuestra plataforma y aprovecha las mejores herramientas para impulsar tu carrera.,Rejoignez notre plateforme et bénéficiez des meilleurs outils pour décrocher le job qui vous correspond.,
ctaFinalTitle,,,¿Listo para impulsar tu carrera?,Prêt à booster votre carrière ?,
ctaStart,,,Comenzar prueba gratuita,Commencer l'essai gratuit,
dashboard.activity.application,New application,Nouvelle candidature,Nueva solicitud,Nuova candidatura,(automatisch ins Deutsche übersetzt)
dashboard.activity.favorite,Favorite,Favori,Favorito,Preferito,(automatisch ins Deutsche übersetzt)
dashboard.activity.interview,Interview,Entretien,Entrevista,Colloquio,(automatisch ins Deutsche übersetzt)
dashboard.activity.offer,Offer,Offre,Oferta,Offerta,(automatisch ins Deutsche übersetzt)
dashboard.activity.status_change,Status change,Changement de statut,Cambio de estado,Cambio di stato,(automatisch ins Deutsche übersetzt)
dashboard.documentTitle,Dashboard - JobNexAI,,Panel de control - JobNexAI,Dashboard - JobNexAI,(automatisch ins Deutsche übersetzt)
dashboard.greeting,Hello {{name}},,Hola {{name}},Ciao {{name}},(automatisch ins Deutsche übersetzt)
dashboard.recentApplications.title,,,,,(automatisch ins Deutsche übersetzt)
dashboard.skillsProgress.title,,,,,(automatisch ins Deutsche übersetzt)
dashboard.stats.applications,,,,,(automatisch ins Deutsche übersetzt)
dashboard.stats.applicationsSent,Applications sent,Candidatures envoyées,Solicitudes enviadas,Candidature inviate,(automatisch ins Deutsche übersetzt)
dashboard.stats.averageSalary,,,,,(automatisch ins Deutsche übersetzt)
dashboard.stats.interviews,,,,,(automatisch ins Deutsche übersetzt)
dashboard.stats.interviewsUpcoming,Upcoming interviews,Entretiens à venir,Entrevistas próximas,Colloqui in arrivo,(automatisch ins Deutsche übersetzt)
dashboard.stats.matchingJobs,,,,,(automatisch ins Deutsche übersetzt)
dashboard.stats.recentActivity,Recent Activity,Activité récente,Actividad reciente,Attività recente,(automatisch ins Deutsche übersetzt)
dashboard.stats.responseRate,,,,,(automatisch ins Deutsche übersetzt)
dashboard.stats.savedJobs,,,,,(automatisch ins Deutsche übersetzt)
dashboard.stats.topCompanies,Top Companies,Top Entreprises,Empresas principales,Aziende principali,(automatisch ins Deutsche übersetzt)
dashboard.stats.topLocations,Top Locations,Top Localisations,Ubicaciones principales,Località principali,(automatisch ins Deutsche übersetzt)
dashboard.status.accepted,Accepted,Acceptée,Aceptada,Accettata,(automatisch ins Deutsche übersetzt)
dashboard.status.pending,Pending,En attente,Pendiente,In attesa,(automatisch ins Deutsche übersetzt)
dashboard.status.rejected,Rejected,Refusée,Rechazada,Respinta,(automatisch ins Deutsche übersetzt)
dashboard.timeframe.month,Month,Mois,Mes,Mese,(automatisch ins Deutsche übersetzt)
dashboard.timeframe.week,Week,Semaine,Semana,Settimana,(automatisch ins Deutsche übersetzt)
dashboard.timeframe.year,Year,Année,Año,Anno,(automatisch ins Deutsche übersetzt)
dashboard.userDefault,user,,usuario,utente,(automatisch ins Deutsche übersetzt)
dashboard.welcome,Welcome to your dashboard,,Bienvenido a tu panel de control,Benvenuto nella tua dashboard,(automatisch ins Deutsche übersetzt)
demo.description,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
documentTitle,,Tableau de bord - JobNexAI,,(valore tradotto automaticamente in italiano dalla versione inglese),
edit,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
features,,,"['Analyse automatique des offres', 'Génération de CV et lettres de motivation', 'Suivi des candidatures', 'Statistiques personnalisées', 'Veille marché intelligente']","['Analyse automatique des offres', 'Génération de CV et lettres de motivation', 'Suivi des candidatures', 'Statistiques personnalisées', 'Veille marché intelligente']",
featuresSectionTitle,,,Voir les fonctionnalités,Voir les fonctionnalités,
footer.copyright,© {{year}} JobNexAI. All rights reserved., JobNexAI. Tous droits réservés.,© {{year}} JobNexAI. Tous droits réservés.,© {{year}} JobNexAI. Tous droits réservés.,(automatisch ins Deutsche übersetzt)
footer.navigation.cgu,Terms of Service,CGU,CGU,CGU,(automatisch ins Deutsche übersetzt)
footer.navigation.community,Community,Communauté,Communauté,Communauté,(automatisch ins Deutsche übersetzt)
footer.navigation.contact,Contact,Contact,Contact,Contact,(automatisch ins Deutsche übersetzt)
footer.navigation.features,Features,Fonctionnalités,Fonctionnalités,Fonctionnalités,(automatisch ins Deutsche übersetzt)
footer.navigation.howItWorks,How it works,Comment ça marche,Comment ça marche,Comment ça marche,(automatisch ins Deutsche übersetzt)
footer.navigation.pricing,Pricing,Tarifs,Tarifs,Tarifs,(automatisch ins Deutsche übersetzt)
footer.navigation.privacy,Privacy,Confidentialité,Confidentialité,Confidentialité,(automatisch ins Deutsche übersetzt)
footer.navigation.privacyPolicy,Privacy Policy,Politique de confidentialité,Politique de confidentialité,Politique de confidentialité,(automatisch ins Deutsche übersetzt)
footer.navigation.testimonials,Testimonials,Témoignages,Témoignages,Témoignages,(automatisch ins Deutsche übersetzt)
footer.reportBug,Report a bug / Give feedback,Signaler un bug / Donner un avis,Signaler un bug / Donner un avis,Signaler un bug / Donner un avis,(automatisch ins Deutsche übersetzt)
footer.social.github,GitHub,GitHub,GitHub,GitHub,(automatisch ins Deutsche übersetzt)
footer.social.linkedin,LinkedIn,LinkedIn,LinkedIn,LinkedIn,(automatisch ins Deutsche übersetzt)
footer.social.twitter,Twitter,Twitter,Twitter,Twitter,(automatisch ins Deutsche übersetzt)
free_trial_used,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
full_name,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
gdpr_consent,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
greeting,,Bonjour {{name}},,(valore tradotto automaticamente in italiano dalla versione inglese),
hero.ctaFinalLogin,Already registered? Login,,¿Ya registrado? Iniciar sesión,Già registrato? Accedi,(automatisch ins Deutsche übersetzt)
hero.ctaFinalStart,Start now,,Comenzar ahora,Inizia ora,(automatisch ins Deutsche übersetzt)
hero.ctaFinalSubtitle,"Join JobNexAI and get more interviews, faster.",,"Únete a JobNexAI y consigue más entrevistas, más rápido.","Unisciti a JobNexAI e ottieni più colloqui, più velocemente.",(automatisch ins Deutsche übersetzt)
hero.ctaFinalTitle,Ready to boost your career?,,¿Listo para impulsar tu carrera?,Pronto a far decollare la tua carriera?,(automatisch ins Deutsche übersetzt)
hero.ctaStart,Start free trial,Commencer maintenant,Comenzar prueba gratuita,Inizia la prova gratuita,
hero.featureDescriptions,"['AI automatically applies to jobs that fit you.', 'Visualize and prepare your interviews easily.', 'Analyze your CV and get tailored advice.', 'Benefit from ultra-precise matching between your profile and jobs.', 'Track your progress and get personalized recommendations.']","[""Notre algorithme d'IA analyse votre profil et les offres disponibles pour vous proposer les emplois les plus pertinents avec un score de compatibilité."", ""Créez un CV professionnel optimisé pour les ATS avec nos modèles élégants et nos conseils d'amélioration personnalisés."", 'Suivez toutes vos candidatures en un seul endroit, avec des rappels automatiques pour les entretiens et les relances.', ""Accédez à des données en temps réel sur les salaires, les compétences recherchées et les tendances du marché de l'emploi."", ""Recevez des suggestions d'emploi personnalisées basées sur vos compétences, votre expérience et vos préférences."", ""Connectez-vous avec d'autres professionnels, échangez des messages et développez votre réseau directement depuis la plateforme."", ""Soyez informé dès qu'une nouvelle offre correspondant à vos critères est publiée, par email ou notification push."", ""Notre IA analyse chaque offre d'emploi et vous suggère des optimisations pour votre CV et lettre de motivation afin de maximiser vos chances."", 'Vos données sont sécurisées et protégées selon les normes RGPD les plus strictes, avec un contrôle total sur vos informations personnelles.', ""Automatisez les tâches répétitives de votre recherche d'emploi comme les relances, les suivis et les mises à jour de statut."", 'Notre plateforme utilise les dernières avancées en intelligence artificielle pour vous offrir une expérience personnalisée et efficace.', ""JobNexAI est disponible en plusieurs langues et couvre les offres d'emploi dans de nombreux pays pour une recherche sans frontières.""]","['La IA postula automáticamente a las ofertas que encajan contigo.', 'Visualiza y prepara tus entrevistas fácilmente.', 'Analiza tu CV y recibe consejos personalizados.', 'Disfruta de un matching ultra preciso entre tu perfil y las ofertas.', 'Sigue tu progreso y recibe recomendaciones personalizadas.']","[""L'IA si candida automaticamente alle offerte più adatte a te."", 'Visualizza e prepara facilmente i tuoi colloqui.', 'Analizza il tuo CV e ricevi consigli su misura.', 'Goditi un matching ultra preciso tra il tuo profilo e le offerte.', 'Monitora i tuoi progressi e ricevi raccomandazioni personalizzate.']",
hero.features,"['AI-powered auto applications', 'Smart interview tracking', 'CV analysis and personalized advice', 'Advanced job/skills matching', 'AI statistics and recommendations']","[""Recherche d'emploi intelligente"", 'CV builder professionnel', 'Suivi des candidatures', 'Analyses de marché', 'Suggestions personnalisées', 'Réseau professionnel', 'Alertes emploi en temps réel', 'Optimisation IA de candidature', 'Protection des données', 'Automatisation des tâches', 'Intégration IA avancée', 'Multilingue et international']","['Postulaciones automáticas IA', 'Seguimiento inteligente de entrevistas', 'Análisis de CV y consejos personalizados', 'Matching avanzado de ofertas/competencias', 'Estadísticas y recomendaciones IA']","['Candidature automatiche AI', 'Monitoraggio intelligente dei colloqui', 'Analisi CV e consigli personalizzati', 'Matching avanzato tra offerte e competenze', 'Statistiche e raccomandazioni AI']","['(automatisch ins Deutsche übersetzt)', '(automatisch ins Deutsche übersetzt)', '(automatisch ins Deutsche übersetzt)']"
hero.featuresSectionDescription,Everything you need to succeed in your job search.,"Découvrez toutes les fonctionnalités innovantes de JobNexAI qui transforment votre recherche d'emploi en une expérience efficace, personnalisée et sans stress.",Todo lo que necesitas para triunfar en tu búsqueda de empleo.,Tutto ciò di cui hai bisogno per avere successo nella ricerca di lavoro.,
hero.featuresSectionSubtitle,Key features,Tout ce dont vous avez besoin pour réussir,Funciones clave,Funzionalità principali,
hero.featuresSectionTitle,,Fonctionnalités,,,
hero.howItWorksSectionDescription,3 simple steps to find your ideal job.,,3 pasos sencillos para encontrar tu trabajo ideal.,3 semplici passi per trovare il lavoro ideale.,
